state,n_couples
District of Columbia,4822
Vermont,2143
Massachusetts,20256
California,98153
Oregon,11773
Delaware,2646
New Mexico,5825
Washington,19003
Hawaii,3239
Maine,3958
Nevada,7140
Rhode Island,2785
New York,48932
Arizona,15817
Florida,48932
Colorado,12424
New Hampshire,3260
Georgia,21318
Maryland,12538
Connectict,7852
New Jersey,16875
Texas,46401
Minnesota,10207
North Carolina,18309
Illinois,23049
Alaska,1228
Louisiana,8076
Virginia,14243
Utah,3909
Pennsylvania,22336
Missouri,10557
Indiana,11074
Tennessee,10898
Ohio,19684
Oklahoma,6134
Kentucky,7195
Wisconsin,9179
South Carolina,7214
Michigan,14598
West Virginia,2848
Arkansas,4226
Kansas,4009
Idaho,2042
Alabama,6582
Iowa,4093
Montana,1348
Nebraska,2356
Mississippi,3484
Wyoming,657
South Dakota,714
North Dakota,559
